frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,-4.594647,-86.538727
12.589254,-6.584206,-85.646126
15.848932,-8.569458,-84.525398
19.952623,-10.545263,-83.120888
25.118866,-12.508296,-81.364601
31.62278,-14.449541,-79.178543
39.810722,-16.358568,-76.473351
50.118732,-18.218115,-73.157722
63.095749,-20.002939,-69.156013
79.432846,-21.684772,-64.415016
100.000031,-23.218666,-58.98711
125.892586,-24.577526,-52.951958
158.48938,-25.713654,-46.633621
199.526306,-26.63203,-40.253654
251.188736,-27.326206,-34.246414
316.227875,-27.827604,-28.87994
398.10733,-28.176003,-24.312817
501.187439,-28.415308,-20.536854
630.957642,-28.565155,-17.763048
794.328613,-28.659384,-15.822262
1000.000488,-28.701876,-14.93592
1258.926025,-28.753004,-14.144555
1584.894043,-28.755405,-14.606937
1995.263428,-28.730076,-15.918661
2511.887939,-28.77474,-16.84914
3162.279541,-28.841396,-18.252762
3981.074219,-28.546776,-24.149858
5011.875488,-28.586739,-27.968685
6309.577637,-28.601662,-33.376633
7943.287598,-28.50419,-40.566582
10000.006836,-27.606598,-49.432152
12589.262695,-28.831974,-61.029202
15848.943359,-28.373661,-72.819801
19952.638672,-28.753609,-85.452728
25118.884766,-30.388531,-121.817253
31622.802734,-32.393185,-152.761841
40000.0,-36.006325,152.332535
