frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,49.46656,-5.333981
12.589254,49.441124,-6.695664
15.848932,49.403671,-8.393154
19.952623,49.341568,-10.506376
25.118866,49.247013,-13.120811
31.62278,49.101517,-16.331591
39.810722,48.880638,-20.233706
50.118732,48.551651,-24.877995
63.095749,48.076992,-30.183138
79.432846,47.418739,-35.816513
100.000031,46.54908,-41.37096
125.892586,45.452877,-47.110897
158.48938,44.140007,-52.707726
199.526306,42.661327,-56.523438
251.188736,41.031895,-60.310844
316.227875,39.316696,-62.717575
398.10733,37.560104,-63.794197
501.187439,35.812309,-63.405106
630.957642,34.088661,-62.385696
794.328613,32.452869,-60.172321
1000.000488,30.974327,-56.625088
1258.926025,29.647728,-52.940731
1584.894043,28.523552,-48.982533
1995.263428,27.615166,-45.25375
2511.887939,26.9104,-42.095947
3162.279541,26.416916,-39.892193
3981.074219,26.062822,-39.070663
5011.875488,25.799067,-40.14875
6309.577637,25.613468,-42.917431
7943.287598,25.473692,-48.001629
10000.006836,25.33913,-56.02533
12589.262695,25.152409,-66.370667
15848.943359,24.891233,-80.961922
19952.638672,24.497799,-100.303139
25118.884766,23.830395,-125.951065
31622.802734,22.446814,-159.329498
40000.0,18.375826,153.7939
