frequency,magnitude_db,phase_deg
66.0693448,-20.35051309,-68.14470868
67.60829754,-20.5217616,-67.68639723
69.18309709,-20.69185774,-67.22059791
70.79457844,-20.86076369,-66.74731755
72.44359601,-21.0284411,-66.26657149
74.13102413,-21.19485108,-65.77838396
75.8577575,-21.35995427,-65.2827885
77.62471166,-21.52371091,-64.77982827
79.43282347,-21.68608088,-64.26955647
81.28305162,-21.84702379,-63.75203665
83.17637711,-22.00649903,-63.22734306
85.11380382,-22.16446585,-62.69556095
87.096359,-22.32088345,-62.15678684
89.12509381,-22.47571106,-61.61112879
91.20108394,-22.62890804,-61.05870665
93.32543008,-22.78043396,-60.4996522
95.4992586,-22.93024869,-59.93410938
97.7237221,-23.07831254,-59.36223434
100,-23.22458633,-58.78419555
102.3292992,-23.36903153,-58.20017384
104.7128548,-23.51161032,-57.61036236
107.1519305,-23.65228576,-57.01496655
109.6478196,-23.79102188,-56.41420398
112.2018454,-23.92778377,-55.80830419
114.8153621,-24.06253775,-55.19750849
117.4897555,-24.19525144,-54.58206966
120.2264435,-24.32589386,-53.96225158
123.0268771,-24.45443561,-53.33832888
125.8925412,-24.5808489,-52.71058646
128.8249552,-24.70510769,-52.079319
131.8256739,-24.82718779,-51.44483037
134.8962883,-24.94706695,-50.80743304
138.0384265,-25.06472494,-50.16744739
141.2537545,-25.18014363,-49.52520103
144.5439771,-25.29330708,-48.88102803
147.9108388,-25.40420159,-48.23526811
151.3561248,-25.51281576,-47.58826586
154.8816619,-25.61914054,-46.94036981
158.4893192,-25.72316926,-46.29193163
162.1810097,-25.82489767,-45.64330516
165.9586907,-25.92432395,-44.99484556
169.8243652,-26.02144872,-44.34690833
173.7800829,-26.11627504,-43.69984841
177.827941,-26.20880839,-43.05401928
181.9700859,-26.29905666,-42.40977203
186.2087137,-26.38703009,-41.76745448
190.5460718,-26.47274128,-41.1274103
194.98446,-26.55620505,-40.48997818
199.5262315,-26.63743849,-39.85549101
204.1737945,-26.7164608,-39.22427513
