frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,32.993721,-1.370945
12.589254,32.990681,-1.723377
15.848932,32.985291,-2.165853
19.952623,32.976593,-2.721286
25.118866,32.962353,-3.419079
31.62278,32.940666,-4.295476
39.810722,32.906174,-5.395858
50.118732,32.851833,-6.766351
63.095749,32.768135,-8.430165
79.432846,32.641834,-10.358191
100.000031,32.454662,-12.537922
125.892586,32.177921,-15.14255
158.48938,31.790792,-17.896877
199.526306,31.291882,-20.295198
251.188736,30.66114,-22.538774
316.227875,29.939438,-24.094149
398.10733,29.192589,-24.639095
501.187439,28.493259,-24.18088
630.957642,27.857313,-23.388468
794.328613,27.348911,-22.224731
1000.000488,26.978434,-21.043705
1258.926025,26.694046,-20.550104
1584.894043,26.489014,-20.700878
1995.263428,26.337206,-21.738754
2511.887939,26.209999,-23.623877
3162.279541,26.101532,-26.762161
3981.074219,25.974678,-31.24696
5011.875488,25.816818,-37.459126
6309.577637,25.583351,-45.343742
7943.287598,25.249603,-55.579632
10000.006836,24.8013,-68.826141
12589.262695,24.065792,-84.056419
15848.943359,22.986277,-103.161026
19952.638672,21.558865,-125.801605
25118.884766,19.501841,-152.999146
31622.802734,16.455627,176.143143
40000.0,10.661889,137.063522
