frequency,magnitude_db,phase_deg
10.0,0.0,0.0
10.0,28.998924,-0.077529
12.589254,28.999243,-0.097515
15.848932,28.999615,-0.122672
19.952623,28.999989,-0.154372
25.118866,28.99992,-0.194425
31.62278,28.999788,-0.245226
39.810722,28.999725,-0.309865
50.118732,28.999557,-0.391895
63.095749,28.999338,-0.494251
79.432846,28.999081,-0.618714
100.000031,28.99827,-0.773314
125.892586,28.997627,-0.981685
158.48938,28.996248,-1.234517
199.526306,28.994188,-1.548805
251.188736,28.990805,-1.942671
316.227875,28.985435,-2.459925
398.10733,28.977062,-3.088234
501.187439,28.964022,-3.839464
630.957642,28.943657,-4.864481
794.328613,28.912592,-6.069763
1000.000488,28.866331,-7.466265
1258.926025,28.798508,-9.294022
1584.894043,28.703659,-11.401698
1995.263428,28.578005,-13.864255
2511.887939,28.422001,-16.529793
3162.279541,28.24745,-19.698059
3981.074219,28.063622,-23.40111
5011.875488,27.889729,-27.985775
6309.577637,27.726974,-33.548393
7943.287598,27.584354,-40.812511
10000.006836,27.447926,-50.406815
12589.262695,27.254726,-62.006184
15848.943359,26.986206,-77.613899
19952.638672,26.587452,-97.751472
25118.884766,25.92417,-124.067719
31622.802734,24.551203,-158.050262
40000.0,20.496778,154.507462
