freq,Gain,Phase
0.1,56.02098627111916,-88.05326902488413
0.1011579454259898,55.921139134514526,-88.03075403450528
0.1023292992280754,55.8212955527879,-88.00797929108128
0.1035142166679343,55.721455608472496,-87.98494180641545
0.1047128548050899,55.62161938600718,-87.96163857523273
0.1059253725177288,55.521786971787805,-87.93806656745805
0.1071519305237606,55.421958454209374,-87.91422270812677
0.1083926914021203,55.322133923707206,-87.89010386301506
0.1096478196143185,55.22231347281736,-87.86570692254128
0.1109174815262401,55.12249719619747,-87.84102867875956
0.1122018454301963,55.02268519071922,-87.8160659261588
0.1135010815672315,54.922877555468645,-87.79081541451468
0.1148153621496882,54.82307439182824,-87.76527386113385
0.1161448613840342,54.72327580353404,-87.73943794600756
0.1174897554939529,54.623481896704206,-87.71330429113804
0.1188502227437018,54.523692779915045,-87.68686951314326
0.1202264434617413,54.42390856424976,-87.66013017240958
0.1216186000646368,54.324129363349165,-87.63308280388915
0.1230268770812381,54.224355293481594,-87.60572390003601
0.1244514611771385,54.12458647360307,-87.57804989633749
0.1258925411794167,54.024823025405425,-87.55005720710366
0.1273503081016661,53.92506507339544,-87.52174221320246
0.1288249551693134,53.825312744941584,-87.49310123403323
0.1303166778452299,53.72556617035234,-87.46413057849024
0.1318256738556407,53.625825482948486,-87.43482648976136
0.1333521432163324,53.52609081910238,-87.40518515752895
0.1348962882591653,53.42636231835071,-87.37520278284697
0.1364583136588924,53.326640123430394,-87.34487547813293
0.1380384264602884,53.22692438036815,-87.31419931542686
0.1396368361055937,53.127215238547656,-87.2831703616809
0.1412537544622754,53.02751285079818,-87.25178460191597
0.1428893958511102,52.92781737346581,-87.22003798994476
0.1445439770745927,52.82812896647863,-87.18792644711158
0.1462177174456718,52.72844779345498,-87.15544583153732
0.1479108388168207,52.628774021768976,-87.1225919697737
0.1496235656094433,52.52910782263893,-87.08936064605875
0.1513561248436208,52.429449371224926,-87.05574758473541
0.153108746168203,52.32979884669645,-87.02174846955563
0.1548816618912481,52.23015643234335,-86.98735894426217
0.1566751070108149,52.13052231565931,-86.95257461934251
0.1584893192461113,52.03089668844573,-86.91739102323264
0.1603245390690041,51.93127974688772,-86.88180366378667
0.162181009735893,51.83167169167645,-86.84580798906921
0.1640589773199539,51.7320727281062,-86.8093994058395
0.165958690743756,51.6324830661672,-86.7725732557665
0.167880401812256,51.532902920660376,-86.7353248672315
0.1698243652461744,51.433332511298026,-86.6976494796517
0.1717908387157588,51.333772062818674,-86.65954230739146
0.1737800828749375,51.23422180511552,-86.62099850751457
0.1757923613958692,51.13468197331165,-86.5820131776947
0.1778279410038922,51.035152807921456,-86.54258137856218
0.1798870915128787,50.935634554946496,-86.50269812300044
0.1819700858609983,50.83612746599927,-86.46235834452638
0.1840772001468956,50.73663179844395,-86.42155695670417
0.1862087136662867,50.6371478155016,-86.3802887925945
0.18836490894898,50.5376757863958,-86.33854865498263
0.1905460717963247,50.43821598648645,-86.29633128257414
0.1927524913190936,50.3387686974081,-86.25363136066592
0.1949844599758045,50.239334207198006,-86.21044351939126
0.1972422736114853,50.13991281043944,-86.1667623435489
0.1995262314968879,50.0405048084286,-86.1225823561016
0.201836636368156,49.9411105092926,-86.07789801386154
0.2041737944669529,49.84173022815912,-86.03270373400963
0.2065380155810529,49.742364287312576,-85.98699386775817
0.2089296130854039,49.64301301633485,-85.9407627327949
0.2113489039836646,49.54367675229488,-85.89400454748606
0.2137962089502232,49.44435583987748,-85.84671351815686
0.216271852372702,49.34505063158339,-85.79888375858012
0.2187761623949552,49.245761487874766,-85.75050935011333
0.2213094709605637,49.146488777374955,-85.70158430440637
0.2238721138568339,49.047232877024186,-85.65210257098398
0.2264644307593059,48.947994172276005,-85.60205805054413
0.2290867652767773,48.84877305727337,-85.55144458099315
0.2317394649968478,48.749569935044406,-85.50025592961273
0.2344228815319921,48.65038521769413,-85.44848583095937
0.2371373705661655,48.55121932660464,-85.39612793342864
0.239883291901949,48.45207269261998,-85.34317583376513
0.2426610095082415,48.35294575628641,-85.28962308494116
0.245470891568503,48.25383896800572,-85.23546314638081
0.248313310529557,48.15475278831788,-85.18068945830206
0.251188643150958,48.05568768804604,-85.12529536537569
0.2540972705549305,47.95664414858476,-85.06927416557036
0.2570395782768863,47.85762266207036,-85.01261908804007
0.2600159563165271,47.758623731651085,-84.95532331948756
0.2630267991895381,47.659647871695896,-84.89737995515607
0.2660725059798809,47.56069560805277,-84.83878206591305
0.2691534803926915,47.461767478275235,-84.77952262539577
0.2722701308077912,47.36286403188184,-84.71959457020819
0.2754228703338166,47.263985830611745,-84.65899076336542
0.278612116862977,47.16513344866351,-84.59770401056704
0.2818382931264453,47.066307472973946,-84.53572705127942
0.2851018267503909,46.96750850349146,-84.47305257581331
0.2884031503126606,46.868737153434026,-84.40967318535121
0.2917427014001167,46.76999404956933,-84.34558144916124
0.2951209226666385,46.67127983249774,-84.28076986550445
0.2985382618917959,46.57259515693749,-84.21523085630467
0.3019951720402016,46.473940692028464,-84.1489568104395
0.3054921113215513,46.375317121617755,-84.08194002891798
0.309029543251359,46.276725144557965,-84.01417275897859
0.3126079367123955,46.17816547503772,-83.94564719591112
0.3162277660168379,46.079638842864576,-83.87635546602955
0.3198895109691398,45.981145993808475,-83.80628964690929
0.3235936569296282,45.88268768991104,-83.73544174097432
0.3273406948788382,45.78426470983089,-83.6638036926651
0.3311311214825911,45.68587784915031,-83.5913673943414
0.3349654391578277,45.58752792074945,-83.5181246851077
0.3388441561392026,45.48921575512906,-83.4440673311726
0.3427677865464504,45.3909422007628,-83.36918705478747
0.3467368504525316,45.292708124465015,-83.29347550345689
0.350751873952568,45.19451441175914,-83.21692429001142
0.3548133892335755,45.096361967214655,-83.13952495307679
0.3589219346450052,44.99825171485742,-83.06126898444454
0.3630780547701014,44.90018459852732,-82.9821478247742
0.3672823004980846,44.802161582261355,-82.90215285501507
0.3715352290971725,44.704183650704735,-82.82127539819699
0.3758374042884441,44.60625180947758,-82.73950674708078
0.3801893963205611,44.50836708561794,-82.65683811485513
0.3845917820453535,44.41053052793151,-82.57326068105395
0.3890451449942806,44.31274320746528,-82.48876558062172
0.3935500754557774,44.215006217875555,-82.40334389472102
0.3981071705534972,44.117320675890234,-82.31698664881645
